ques,diff
0,3
1,4
2,5
3,5
4,6
5,7
6,8
7,9
8,9
9,5
10,5
11,5
12,10
13,9
14,7
15,5
16,6
17,5
18,6
19,5
20,6
21,6
22,5
23,5
24,7
25,5
26,5
27,5
28,7
29,7
30,7
31,8
32,7
33,7
34,8
35,7
36,9
37,6
38,4
39,8
40,6
41,7
42,10
43,8
44,8
45,7
46,7
47,9
48,7
49,7
50,9
51,5
52,7
53,5
54,6
55,4
56,5
57,5
58,6
59,7
60,7
61,3
62,7
63,7
64,7
65,8
66,5
67,6
68,6
69,8
70,4
71,9
72,9
73,6
74,7
75,7
76,5
77,9
78,7
79,9
80,6
81,7
82,8
83,7
84,7
85,8
86,5
87,8
88,3
89,7
90,4
91,7
92,8
93,7
94,5
95,5
96,4
97,7
98,6
99,6
100,5
101,4
102,10
103,10
104,7
105,8
106,7
107,5
108,7
109,8
110,8
111,8
112,9
113,7
114,6
115,10
116,7
117,9
118,7
119,5
120,8
121,7
122,6
123,8
124,3
125,4
126,6
127,8
128,9
129,6
130,9
131,7
132,5
133,7
134,7
135,1
136,3
137,8
138,5
139,5
140,6
141,10
142,7
143,5
144,6
145,5
146,5
147,7
148,8
149,10
150,4
151,7
152,7
153,5
154,7
155,6
156,7
157,5
158,3
159,7
160,1
161,7
162,6
163,8
164,6
165,4
166,9
167,3
168,6
169,3
170,5
171,5
172,5
173,6
174,6
175,8
176,7
177,6
178,7
179,8
180,8
181,7
182,5
183,5
184,8
185,9
186,5
187,10
188,6
189,10
190,9
191,7
192,9
193,7
194,8
195,6
196,6
197,8
198,4
199,8
200,10
201,10
202,10
203,7
204,7
205,7
206,5
207,2
208,7
209,8
210,9
211,6
212,7
213,6
214,5
215,7
216,5
217,4
218,7
219,5
220,5
221,5
222,8
223,7
224,10
225,7
226,5
227,4
228,0
229,7
230,7
231,7
232,8
233,5
234,6
235,7
236,10
237,7
238,8
239,7
240,4
241,5
242,4
243,5
244,8
245,5
246,6
247,6
248,10
249,8
250,9
251,7
252,8
253,10
254,7
255,10
256,4
257,8
258,6
259,7
260,7
261,9
262,8
263,6
264,10
265,7
266,8
267,9
268,7
269,9
270,9
271,9
272,9
273,7
274,8
275,7
276,8
277,9
278,5
279,6
280,5
281,5
282,0
283,5
284,6
285,8
286,5
287,5
288,2
289,8
290,7
291,6
292,7
293,7
294,8
295,5
296,10
297,3
298,8
299,10
300,6
301,10
302,6
303,8
304,5
305,10
306,9
307,9
308,5
309,5
310,6
311,5
312,5
313,4
314,5
315,5
316,4
317,8
318,6
319,6
320,5
321,5
322,4
323,8
324,6
325,7
326,5
327,5
328,8
329,7
330,9
331,8
332,7
333,8
334,7
335,6
336,8
337,8
338,7
339,8
340,3
341,6
342,3
343,8
344,5
345,7
346,8
347,5
348,5
349,5
350,0
351,6
352,2
353,5
354,8
355,7
356,8
357,8
358,6
359,8
360,7
361,6
362,5
363,6
364,2
365,5
366,5
367,8
368,10
369,9
370,8
371,5
372,6
373,7
374,10
375,9
376,10
377,10
378,10
379,7
380,10
381,7
382,5
383,10
384,5
385,5
386,3
387,10
388,7
389,8
390,6
391,7
392,5
393,10
394,4
395,7
396,7
397,4
398,6
399,10
400,8
401,6
402,7
403,10
404,9
405,9
406,8
407,9
408,4
409,10
410,7
411,5
412,10
413,5
414,10
415,5
416,10
417,0
418,5
419,7
420,4
421,5
422,8
423,6
424,8
425,7
426,4
427,8
428,7
429,10
430,10
431,5
432,6
433,7
434,0
435,8
436,5
437,10
438,7
439,10
440,10
441,7
442,10
443,9
444,8
445,9
446,6
447,8
448,6
449,8
450,9
451,5
452,5
453,5
454,8
455,5
456,8
457,8
458,6
459,5
460,7
461,5
462,10
463,8
464,10
465,10
466,10
467,6
468,10
469,5
470,6
471,8
472,8
473,8
474,8
475,9
476,5
477,4
478,10
479,6
480,6
481,6
482,5
483,6
484,5
485,5
486,7
487,6
488,9
489,6
490,6
491,7
492,7
493,8
494,7
495,6
496,9
497,8
498,9
499,9
500,3
501,4
502,6
503,6
504,10
505,5
506,8
507,8
508,6
509,7
510,8
511,8
512,8
513,9
514,6
515,8
516,10
517,8
518,6
519,7
520,8
521,6
522,6
523,7
524,6
525,10
526,3
527,8
528,6
529,8
530,4
531,9
532,6
533,10
534,8
535,10
536,10
537,10
538,8
539,10
540,9
541,8
542,6
543,6
544,8
545,8
546,7
547,5
548,6
549,5
550,7
551,9
552,10
553,8
554,8
555,10
556,8
557,5
558,8
559,8
560,7
561,10
562,8
563,9
564,6
565,6
566,9
567,8
568,8
569,9
570,5
571,6
572,10
573,8
574,10
575,8
576,8
577,10
578,8
579,8
580,6
581,10
582,7
583,5
584,8
585,6
586,9
587,10
588,8
589,7
590,5
591,10
592,10
593,9
594,7
595,8
596,8
597,10
598,8
599,7
600,7
601,9
602,8
603,8
604,7
605,3
606,7
607,10
608,5
609,10
610,7
611,7
612,8
613,6
614,6
615,7
616,5
617,6
618,8
619,8
620,6
621,7
622,7
623,5
624,6
625,7
626,7
627,8
628,7
629,6
630,8
631,10
632,6
633,4
634,6
635,8
636,9
637,10
638,9
639,8
640,6
641,8
642,8
643,10
644,4
645,4
646,8
647,10
648,10
649,7
650,7
651,6
652,5
653,10
654,8
655,7
656,6
657,10
658,10
659,10
660,10
661,9
662,10
663,8
664,6
665,7
666,9
667,6
668,10
669,8
670,7
671,8
672,6
673,7
674,7
675,10
676,5
677,10
678,8
679,10
680,6
681,7
682,5
683,7
684,6
685,5
686,7
687,10
688,9
689,6
690,4
691,9
692,4
693,10
694,8
695,8
696,8
697,10
698,5
699,4
700,7
701,10
702,1
703,10
704,10
705,8
706,8
707,5
708,9
709,10
710,10
711,5
712,8
713,10
714,9
715,5
716,8
717,9
718,10
719,7
720,8
721,7
722,7
723,7
724,7
725,7
726,5
727,3
728,7
729,8
730,8
731,5
732,6
733,6
734,6
735,8
736,9
737,8
738,6
739,5
740,5
741,7
742,4
743,8
744,4
745,7
746,8
747,7
748,5
749,7
750,7
751,9
752,7
753,8
754,6
755,5
756,7
757,7
758,6
759,7
760,8
761,8
762,8
763,8
764,8
765,9
766,5
767,5
768,5
769,5
770,6
771,8
772,8
773,6
774,6
775,5
776,7
777,6
778,6
779,7
780,8
781,7
782,6
783,10
784,5
785,6
786,10
787,10
788,7
789,10
790,10
791,10
792,10
793,8
794,7
795,8
796,9
797,8
798,8
799,8
800,5
801,10
802,6
803,9
804,10
805,8
806,8
807,6
808,6
809,7
810,9
811,8
812,5
813,6
814,7
815,8
816,6
817,7
818,10
819,10
820,6
821,6
822,10
823,10
824,6
825,10
826,5
827,8
828,7
829,5
830,4
831,6
832,5
833,10
834,8
835,8
836,9
837,6
838,10
839,7
840,10
841,8
842,6
843,6
844,8
845,8
846,10
847,5
848,10
849,8
850,4
851,7
852,5
853,8
854,6
855,10
856,5
857,7
858,10
859,4
860,10
861,6
862,10
863,10
864,3
865,6
866,8
867,8
868,7
869,8
870,10
871,7
872,8
873,10
874,7
875,6
876,8
877,10
878,4
879,10
880,5
881,10
882,9
883,9
884,8
885,5
886,10
887,6
888,6
889,8
890,5
891,6
892,5
893,3
894,7
895,0
896,10
897,6
898,8
899,10
900,10
901,10
902,10
903,5
904,3
905,6
906,8
907,6
908,7
909,10
910,2
911,8
912,6
913,8
914,9
915,5
916,10
917,5
918,10
919,10
920,7
921,10
922,10
923,8
924,7
925,5
926,9
927,10
928,9
929,8
930,10
931,10
932,8
933,8
934,8
935,9
936,5
937,6
938,7
939,10
940,10
941,7
942,5
943,8
944,10
945,10
946,10
947,10
948,7
949,5
950,5
951,8
952,6
953,10
954,7
955,5
956,5
957,10
958,8
959,10
960,8
961,7
962,7
963,10
964,8
965,2
966,8
967,8
968,8
969,5
970,7
971,6
