ques,disc
0,0
1,0
2,0
3,0
4,1
5,1
6,2
7,3
8,3
9,0
10,0
11,0
12,3
13,2
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,1
30,1
31,2
32,3
33,1
34,2
35,1
36,3
37,0
38,0
39,2
40,0
41,1
42,3
43,2
44,2
45,1
46,3
47,3
48,2
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,3
58,0
59,1
60,1
61,0
62,1
63,1
64,1
65,3
66,1
67,0
68,2
69,2
70,3
71,3
72,3
73,3
74,1
75,1
76,3
77,3
78,1
79,3
80,0
81,2
82,2
83,1
84,1
85,2
86,0
87,3
88,2
89,1
90,3
91,1
92,2
93,1
94,0
95,3
96,2
97,2
98,0
99,1
100,0
101,0
102,3
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,3
112,3
113,0
114,0
115,0
116,2
117,0
118,2
119,0
120,2
121,1
122,2
123,2
124,0
125,3
126,0
127,2
128,3
129,0
130,3
131,1
132,3
133,1
134,1
135,0
136,0
137,2
138,0
139,3
140,0
141,3
142,1
143,0
144,3
145,3
146,0
147,2
148,3
149,3
150,0
151,3
152,3
153,0
154,1
155,0
156,0
157,0
158,0
159,3
160,0
161,1
162,0
163,2
164,0
165,0
166,3
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,2
176,2
177,0
178,2
179,3
180,2
181,1
182,0
183,0
184,3
185,2
186,0
187,3
188,0
189,3
190,3
191,1
192,0
193,1
194,3
195,3
196,3
197,3
198,2
199,2
200,3
201,3
202,3
203,3
204,3
205,1
206,0
207,0
208,1
209,2
210,1
211,0
212,1
213,0
214,0
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,2
223,1
224,3
225,1
226,0
227,3
228,0
229,2
230,2
231,0
232,3
233,0
234,0
235,3
236,3
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,2
245,0
246,2
247,0
248,3
249,2
250,0
251,1
252,0
253,3
254,2
255,3
256,2
257,2
258,0
259,1
260,1
261,3
262,2
263,0
264,3
265,0
266,2
267,3
268,3
269,3
270,2
271,2
272,3
273,3
274,2
275,1
276,2
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,2
286,0
287,0
288,0
289,2
290,2
291,0
292,1
293,3
294,3
295,0
296,3
297,0
298,2
299,3
300,0
301,3
302,0
303,2
304,0
305,3
306,3
307,3
308,0
309,0
310,0
311,0
312,0
313,3
314,2
315,1
316,0
317,3
318,0
319,2
320,3
321,3
322,0
323,2
324,0
325,1
326,0
327,3
328,2
329,0
330,3
331,2
332,2
333,2
334,1
335,1
336,1
337,2
338,1
339,2
340,0
341,0
342,0
343,2
344,0
345,1
346,2
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,2
355,1
356,1
357,3
358,0
359,2
360,2
361,3
362,0
363,0
364,0
365,0
366,2
367,2
368,3
369,3
370,3
371,0
372,0
373,0
374,3
375,3
376,3
377,3
378,3
379,1
380,3
381,0
382,0
383,3
384,0
385,0
386,0
387,3
388,1
389,3
390,0
391,3
392,0
393,3
394,0
395,1
396,0
397,0
398,0
399,3
400,2
401,0
402,2
403,3
404,3
405,3
406,2
407,3
408,0
409,3
410,1
411,0
412,3
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,3
423,0
424,3
425,1
426,0
427,2
428,2
429,0
430,3
431,0
432,0
433,1
434,0
435,2
436,0
437,3
438,0
439,3
440,3
441,1
442,3
443,3
444,2
445,3
446,1
447,3
448,0
449,2
450,3
451,0
452,0
453,0
454,2
455,0
456,2
457,2
458,0
459,0
460,2
461,0
462,3
463,2
464,3
465,3
466,0
467,0
468,3
469,0
470,0
471,3
472,2
473,2
474,2
475,3
476,0
477,0
478,3
479,0
480,0
481,0
482,3
483,2
484,2
485,0
486,1
487,0
488,3
489,0
490,0
491,1
492,1
493,2
494,1
495,1
496,1
497,1
498,2
499,0
500,0
501,0
502,3
503,0
504,3
505,0
506,3
507,2
508,0
509,1
510,2
511,0
512,2
513,3
514,0
515,2
516,3
517,2
518,0
519,1
520,2
521,3
522,0
523,1
524,3
525,3
526,0
527,2
528,0
529,2
530,0
531,3
