ques,template
7494,402
7774,346
10551,454
11331,13
11036,439
14627,586
12706,215
9155,383
15275,634
2377,177
11843,102
4323,16
4822,42
10429,218
7446,192
4440,276
13129,525
8199,174
15644,100
15076,614
3247,31
2529,207
2809,7
14247,548
6364,15
6240,5
8076,222
12330,509
3136,232
12514,526
12261,445
5747,265
7727,407
3113,232
341,61
12979,537
8377,110
8053,197
1346,34
15091,621
7749,220
1721,22
11486,487
15026,448
9459,233
6302,15
15379,572
3630,161
2823,43
9740,407
10556,263
7915,266
13028,296
9070,420
12105,489
11406,454
5731,72
1496,152
1260,145
13430,391
4995,294
13813,517
8589,372
11512,491
7115,391
9609,77
1013,47
9150,431
8219,219
14251,267
1739,69
103,27
5792,307
9877,444
9951,435
12278,271
2546,176
9036,306
9316,250
9301,266
10521,379
9781,16
8490,410
5331,180
6071,304
5801,308
8859,408
4296,75
8607,374
9695,407
5059,294
5121,295
3894,193
3823,229
3590,206
3135,231
5374,84
13620,543
14174,66
888,132
1791,108
11076,304
11944,500
14522,552
13616,538
13910,456
7000,385
4105,261
13580,445
2807,7
44,15
1040,144
8025,177
5406,226
15044,612
698,124
15339,636
4489,55
8431,417
11073,463
205,28
11643,493
81,22
775,144
3774,228
9580,266
11416,75
10279,425
5282,39
2824,142
2109,156
6142,315
8948,236
10374,391
11051,400
12442,527
13536,175
14411,62
11275,385
7375,393
6166,63
2654,59
1803,104
6214,331
13849,440
7855,0
11663,95
13039,42
10491,301
13518,13
13722,542
4798,63
5975,239
15529,152
2165,135
10196,401
2094,125
14288,519
11966,239
3369,193
11839,103
1542,166
7459,192
1451,163
2970,188
11054,461
223,12
11200,434
14157,219
4553,273
9768,263
13684,467
782,131
15280,569
6909,250
10371,91
401,100
5390,125
13566,539
11281,264
3625,161
8113,220
6514,354
3330,95
12544,526
5109,221
11215,235
5874,307
4583,10
7558,310
47,16
2301,26
14676,588
94,21
1660,144
1109,150
3269,235
10447,2
11092,469
6919,377
10954,466
1355,58
10427,62
1625,168
4681,216
2210,189
2072,134
11884,103
8709,423
10559,442
8188,308
6442,27
4981,294
13563,191
11089,475
7504,401
12360,526
10935,188
6408,22
7296,397
9439,208
8613,372
1491,153
1255,144
5506,172
6313,159
8718,425
1064,69
3533,234
10867,139
8390,110
5635,153
9081,421
10971,249
7053,348
4035,9
9180,431
6143,311
11603,492
6417,250
1680,142
4022,257
6005,306
12075,518
5701,41
9347,249
15433,558
11810,489
10665,431
6578,15
9888,435
5045,253
4793,140
6274,308
6565,275
5936,246
10492,418
11933,493
1767,104
11750,431
6508,355
6193,317
9220,431
181,55
3636,161
10698,432
13615,542
4348,271
1495,154
7532,169
14601,518
15261,634
11003,116
9612,384
13319,507
9952,435
5566,226
15112,150
12294,510
5372,53
4251,263
5656,98
7963,30
11833,500
12089,98
2407,157
8387,110
14490,441
5594,154
13827,461
12800,14
3398,33
11093,476
8455,409
2302,28
1518,58
13725,194
345,65
9223,60
14679,588
13553,507
7649,222
763,23
5602,272
12949,532
14,5
4587,26
13930,346
5977,245
10717,90
8362,69
11664,267
5507,172
12363,101
6687,304
7425,79
5356,37
8519,409
4038,258
10765,445
11575,492
6639,371
1042,21
14089,210
13971,210
6968,381
2907,51
2997,189
14801,2
8628,422
1506,57
11570,191
3200,232
12838,496
15590,69
2978,218
6569,359
4049,261
9839,209
7701,405
8978,428
6362,310
11110,479
6664,372
10526,60
1957,47
6065,310
10829,445
1027,38
11707,107
10192,377
3870,132
2545,48
13283,528
10249,409
12103,521
3490,208
12840,99
12002,508
6685,371
4102,193
3945,214
3139,43
15601,638
7799,404
3162,200
8127,141
9429,223
746,23
2520,193
324,65
15545,151
11313,210
15067,471
11295,454
11336,13
3769,209
4186,225
813,131
5562,122
7561,309
1463,73
1301,158
1396,28
6712,301
12720,15
1163,149
333,30
1898,186
2773,75
9627,357
4869,259
1207,68
12260,445
91,20
1429,58
9370,385
4861,265
4920,293
11022,376
11392,13
11928,239
14649,588
3688,189
10245,417
12978,533
7527,309
13280,277
5791,306
9754,346
12228,433
6715,301
15373,637
8777,357
10779,355
1158,69
10263,306
15055,471
4404,259
7361,396
6848,377
820,148
402,93
1731,146
4526,282
10740,444
2956,48
14981,609
8043,57
655,122
7441,389
9924,435
4274,226
3915,258
6292,159
1171,24
13541,142
12863,406
13123,509
7962,80
13921,544
15106,69
3165,208
654,49
11746,60
11001,115
6325,194
1527,162
151,9
9060,208
12433,194
7787,346
8170,110
12988,532
11804,91
7863,1
5243,296
2196,82
12733,399
1288,58
12998,421
2793,122
3108,231
3012,156
7876,412
12126,90
3278,147
453,114
9848,442
14732,517
8932,377
980,133
14759,476
1891,101
1085,38
3980,258
11918,497
9481,110
5379,224
6348,154
11616,493
13651,539
1317,147
4430,12
10108,218
5715,257
1368,149
5271,295
376,95
11262,262
7186,397
13155,505
13525,175
13087,388
3803,143
3007,206
3893,257
8530,410
9893,435
6099,15
14948,304
7090,393
4197,225
6896,376
2004,145
2754,59
12337,507
4990,294
499,8
4737,66
9059,421
12508,100
12650,2
1083,152
13914,544
3998,215
14591,593
15071,475
10128,411
2133,31
8940,375
6047,245
14336,576
8092,62
4352,270
8621,420
5034,294
10638,434
4893,97
14422,260
1894,162
3802,30
8930,428
13038,526
831,148
3897,258
12529,526
7826,1
10349,64
1766,104
8929,236
7076,8
8876,301
12300,525
3473,139
265,28
12435,270
4941,294
2539,215
15336,637
2454,28
872,121
3717,201
673,120
2890,126
6060,309
2122,196
7399,355
8639,422
11435,235
12039,495
8504,411
1129,151
7597,188
5291,129
3294,31
11375,445
123,30
52,18
3227,194
6156,316
146,43
9264,236
11316,13
2990,156
8435,306
99,25
14907,608
4085,161
15502,153
696,37
625,65
2895,225
1560,149
9492,91
14994,611
11781,487
1228,146
9972,298
4505,283
14642,585
5671,273
7026,373
501,88
3610,210
5104,295
819,127
748,47
1924,188
5661,283
8638,422
8847,54
5483,229
9237,378
10464,175
10577,384
12760,495
6756,301
467,89
1189,154
6571,315
13260,388
3306,156
9246,379
4938,293
3420,132
10654,431
9048,306
4942,293
15170,553
9225,60
7317,355
11357,13
3865,162
7885,416
510,123
7249,390
558,37
1492,163
6498,254
5994,300
14917,590
12554,526
5250,194
10285,403
5678,2
618,131
3111,232
15665,388
10758,210
2986,43
12160,398
1259,150
8991,428
9087,55
5211,296
8877,309
3698,161
9651,306
14291,210
7756,0
8120,220
15174,572
256,24
1130,24
523,122
2226,198
9358,431
584,124
14618,586
4656,280
6319,304
7125,391
13898,99
14827,304
2645,57
7908,298
4849,265
5030,294
12545,269
2856,224
5035,252
9694,406
5301,233
5466,168
7612,110
15678,222
1718,171
7788,407
13322,438
2984,68
13247,395
3599,152
1489,73
7464,77
958,148
5543,237
12112,98
3848,212
5955,245
6189,6
6924,255
9624,354
2752,95
6487,353
15473,153
6986,384
13370,13
7416,309
5010,84
7821,0
5438,108
1850,181
4392,259
4284,273
3318,237
3655,230
10179,417
14322,283
12356,526
6093,304
14390,570
14943,346
2079,123
5220,172
1195,153
9497,310
833,120
6735,301
7657,239
3445,151
5589,226
11586,490
6126,315
520,126
2348,31
11035,400
12127,89
12509,526
4155,258
4943,293
621,138
13842,532
677,136
6324,343
5176,296
7151,386
10840,359
15347,272
2465,142
9363,379
2581,40
8698,425
15094,623
11457,488
12695,14
386,98
13332,389
13296,13
10274,452
15534,151
8922,376
14382,522
2418,57
14171,398
7373,78
6343,315
6381,132
14905,607
7449,390
14964,190
8509,64
11077,440
7528,393
13594,543
9291,378
15298,630
12292,505
11367,11
10393,355
2954,188
9097,429
12362,101
4761,113
3652,210
6926,249
4106,262
15177,572
7246,390
666,127
7594,175
7287,302
605,122
4141,256
10735,442
11531,493
13899,102
5858,307
10692,399
11178,434
10336,433
10535,115
2679,142
2403,147
3860,229
11634,491
2013,5
6158,304
12287,526
5806,301
2265,199
5439,268
9343,250
6997,383
15669,74
5154,172
20,5
8413,217
9745,110
1499,161
11213,462
3873,176
6431,270
14304,210
14868,606
12037,495
8171,372
8153,225
8241,217
13432,13
12061,505
1836,183
8067,177
1840,178
12174,520
14719,235
13556,438
322,31
858,125
10590,157
12211,517
12790,526
6472,211
1789,98
2885,224
13834,449
14613,587
4171,111
10043,220
3317,237
7810,356
3616,124
11272,261
6966,290
8967,236
9630,436
8057,200
12108,105
749,23
1693,158
5612,154
12996,530
7041,187
9705,407
15395,572
216,66
15524,152
13713,539
6876,377
12483,526
9890,442
11114,479
14706,589
3202,230
9985,406
10113,217
8993,236
10253,279
10727,416
15414,635
12586,269
14005,220
1322,147
1090,151
7013,385
15060,471
809,141
1241,146
4083,263
8494,409
5497,121
7168,391
11673,268
1051,145
3025,67
258,12
4895,216
13403,516
3068,231
6847,159
140,40
11613,491
13741,529
2286,143
8409,417
14116,547
7591,157
723,30
11095,473
5807,301
15560,151
13191,385
13398,507
