ques,type
1595,0
7826,0
6121,0
5001,1
10504,0
9926,0
13428,0
3275,0
1314,0
6777,0
9309,2
697,2
11606,0
9645,0
14852,0
13147,0
2994,0
9,0
4551,0
5662,0
2377,2
8030,2
14827,0
13977,0
4080,0
1111,0
5381,0
9858,2
9426,0
13696,0
5196,1
830,0
7061,0
4332,0
13959,1
2174,2
11106,0
9145,0
14352,0
2510,0
3621,0
1916,0
8147,0
11353,1
9824,2
7459,2
9991,0
15454,0
3340,0
6842,0
4881,0
9374,2
947,2
8942,0
1194,1
13212,0
15173,0
330,0
6561,0
7928,0
5983,0
11486,1
10622,0
5295,2
8661,0
9772,0
14298,0
3121,0
1160,0
7663,0
4678,0
15386,2
9340,2
11452,0
9491,0
14954,0
12993,0
2840,0
127,0
6358,0
4397,0
10764,2
11171,0
14673,0
12712,0
13839,0
3942,0
1981,0
7188,0
5483,0
3325,2
12257,0
9272,0
15519,0
13814,0
2637,0
7163,0
4178,0
14061,1
11816,1
10952,0
9007,0
12509,0
7993,0
6032,0
8575,2
3874,2
13956,2
10687,0
10093,0
13339,0
3442,0
1481,0
6688,0
4126,2
14772,1
13058,0
2137,0
176,0
7790,0
5829,0
4965,1
11332,1
2720,1
11739,1
4007,0
1278,0
7509,0
5548,0
11986,2
6645,1
14144,0
9090,1
12592,1
11298,0
12855,0
2702,0
4243,0
13262,2
2085,2
13191,2
8288,0
14535,0
12574,0
5082,1
3788,0
1827,0
7290,0
5329,0
9822,2
12119,0
10158,0
15365,0
13660,0
5048,0
2890,2
929,2
10814,0
8853,0
12355,0
497,0
7855,0
5894,0
7423,2
10533,0
9939,0
12938,1
14209,0
3288,0
1343,0
7574,0
4845,0
9322,2
655,2
11619,0
14865,0
13160,0
3023,0
38,0
4564,0
5675,0
12472,2
14840,0
14006,0
1124,0
7355,0
4777,2
6667,2
9455,0
7938,1
2804,0
843,0
7074,0
4345,0
13725,0
6457,2
2116,2
11135,0
9174,0
1426,1
12420,0
2523,0
4928,1
1673,0
8160,0
11965,0
10004,0
6608,1
13506,0
3353,0
624,0
6871,0
4910,0
15467,0
5157,1
6254,2
960,2
11684,0
3168,1
8955,0
13225,0
359,0
6590,0
7701,0
5996,0
11252,2
13904,2
10379,0
8674,0
9785,0
14327,0
3150,0
1189,0
7676,0
4691,0
325,1
13454,2
6988,2
9504,0
13022,0
5274,1
908,0
6371,0
4410,0
1155,1
11184,0
8215,0
14702,0
12741,0
13852,0
3955,0
1994,0
7201,0
5496,0
11879,2
3082,2
12286,0
442,1
15532,0
13571,0
2650,0
6920,0
4207,0
10981,0
9020,0
15251,0
12522,0
2369,0
1791,0
13793,1
6061,0
10700,0
10106,0
6470,1
1510,0
6717,0
4756,0
893,2
2783,2
11530,0
13087,0
205,0
6436,0
7803,0
5842,0
14344,2
10481,0
8520,0
4020,0
7522,0
13309,1
10239,2
3332,2
14582,1
12868,0
2715,0
1010,0
5120,1
4256,0
6217,0
13204,2
7920,2
8317,0
11046,0
12587,0
14548,0
3801,0
1840,0
8087,0
5358,0
7655,2
12132,0
10171,0
15378,0
13673,0
3520,0
551,0
7038,0
10827,0
8866,0
15353,0
12368,0
2231,0
270,0
1637,0
7868,0
5907,0
13902,2
14912,1
10546,0
8585,0
9952,0
3317,0
1356,0
4858,0
1603,1
668,2
11632,0
14894,0
12933,0
51,0
6282,0
4577,0
5688,0
387,2
10343,0
8382,0
14613,0
14019,0
3866,0
1137,0
7368,0
5423,0
2314,1
9468,0
12197,0
13738,0
2561,0
5238,1
7103,0
4118,0
12012,1
6415,2
10892,0
9187,0
14394,0
6662,1
12163,1
12433,0
1702,0
8189,0
8570,2
10017,0
15480,0
13535,0
1421,0
6884,0
15409,4
10426,1
6196,2
11697,0
8712,0
15215,0
13254,0
372,0
7714,0
6009,0
14342,2
10392,0
8703,0
11679,1
3163,0
14084,0
4704,0
11926,2
3499,2
11494,0
13035,0
2882,0
6384,0
4439,0
2265,2
15332,2
11213,0
8228,0
736,1
12754,0
5022,1
3712,0
13865,0
7230,0
5269,0
14715,0
9931,2
12043,0
15545,0
13584,0
2679,0
6108,1
6949,0
4220,0
2830,2
10994,0
9033,0
15264,0
12295,0
2398,0
437,0
1548,0
6074,0
10713,0
11824,0
13381,0
3228,0
1523,0
6730,0
4769,0
650,2
2796,2
11559,0
8830,0
13964,1
13100,0
2947,0
218,0
6449,0
4488,0
5871,0
10942,2
15061,0
2330,2
4751,1
11374,1
8549,0
14780,0
14186,0
4033,0
7551,0
5590,0
9379,0
12881,0
2728,0
783,0
6246,0
4285,0
2296,2
11059,0
9098,0
14561,0
12600,0
2463,0
3830,0
1869,0
8100,0
8481,2
10371,2
12145,0
10184,0
15407,0
13446,0
3549,0
564,0
6795,0
5090,0
14543,1
900,2
10840,0
8895,0
15126,0
12397,0
283,0
1650,0
7881,0
5920,0
13844,2
10575,0
8614,0
9981,0
14251,0
3074,0
1369,0
7600,0
11405,0
9700,0
14907,0
12946,0
64,0
6311,0
4606,0
5717,0
15314,2
400,2
10356,0
8395,0
14626,0
14032,0
3895,0
1934,0
7397,0
5436,0
11874,2
5683,1
12210,0
9225,0
13767,0
2590,0
7116,0
4131,0
3861,1
10905,0
9200,0
14423,0
12462,0
2309,0
3676,0
1715,0
4970,1
7946,0
8512,2
7329,2
10624,0
12007,0
10046,0
13548,0
1434,0
6897,0
5199,1
11726,0
8741,0
129,0
7743,0
5782,0
10421,0
8460,0
14097,0
3176,0
1231,0
4733,0
12124,2
543,2
11507,0
9546,0
13048,0
2911,0
5316,1
6157,0
4452,0
14335,1
2223,2
11226,0
3494,1
8241,0
12783,0
11473,1
3741,0
14472,0
7243,0
5282,0
9944,2
15574,0
13613,0
731,0
10767,0
15293,0
2411,0
4816,1
1561,0
8048,0
6103,0
10742,0
13394,0
3241,0
1280,0
6759,0
4798,0
4181,2
848,2
11572,0
15074,0
7342,1
11819,1
247,0
6478,0
4517,0
5884,0
13113,0
10884,2
3655,2
10267,0
8562,0
14793,0
4062,0
1077,0
5603,0
15639,0
12910,0
2757,0
796,0
5162,1
4298,0
6259,0
14181,1
14775,1
7777,2
11072,0
9127,0
12629,0
2476,0
3587,0
1882,0
8113,0
8510,2
11335,1
14332,2
11918,0
10213,0
3562,0
6808,0
5119,0
13027,2
10869,0
8908,0
15139,0
296,0
6543,0
7910,0
5949,0
8627,0
9738,0
14264,0
3103,0
1398,0
7629,0
12106,2
11418,0
9713,0
12975,0
93,0
4363,0
5730,0
10801,2
8027,2
8408,0
11137,0
14655,0
1947,0
5449,0
59,1
9871,2
12239,0
9254,0
2603,0
642,0
7129,0
4144,0
11798,1
