skill,cluster
12,1
91,13
73,10
25,1
67,19
39,17
50,11
100,1
4,0
77,1
54,13
5,18
120,15
108,18
14,1
65,8
18,9
96,8
48,17
102,1
66,22
89,1
115,1
69,8
0,1
26,1
22,12
3,1
78,1
55,1
17,8
24,8
117,1
118,14
79,29
31,1
47,8
45,8
52,8
71,8
81,8
7,1
15,25
40,1
43,1
119,4
88,18
105,1
90,8
111,8
42,1
116,8
114,8
121,8
19,1
56,7
104,1
2,8
23,8
30,8
99,20
107,1
64,8
21,1
70,1
57,1
106,1
83,1
109,1
112,31
68,8
20,1
94,8
92,8
46,1
97,8
51,3
82,1
6,8
16,8
37,24
38,26
34,17
32,1
9,1
58,1
59,27
35,1
61,1
62,30
87,1
41,19
44,8
29,18
8,1
80,8
53,2
11,1
60,1
84,6
86,1
63,1
93,28
74,11
122,1
76,5
95,23
10,1
85,16
36,1
103,8
110,8
13,1
113,8
72,1
27,18
49,1
98,1
28,21
1,8
33,19
75,1
101,1
