skill1,skill2
0,0
0,56
0,85
0,18
0,42
0,40
0,48
0,3
0,75
0,93
1,1
1,15
1,69
1,95
1,50
1,73
1,90
1,29
1,14
1,2
2,2
2,90
2,13
2,95
2,69
2,15
2,1
2,29
2,50
2,12
3,3
3,41
3,67
3,91
3,20
3,76
3,45
3,37
3,70
3,16
4,4
4,16
4,66
4,6
4,74
4,49
4,45
4,88
4,47
4,44
5,5
5,35
5,63
5,61
5,28
5,90
5,17
5,57
5,2
5,94
6,6
6,66
6,4
6,44
6,49
6,23
6,16
6,74
6,36
6,7
7,7
7,23
7,45
7,39
7,16
7,91
7,66
7,74
7,3
7,67
8,8
8,67
8,3
8,45
8,76
8,46
8,41
8,37
8,7
8,71
9,9
9,33
9,58
9,64
9,10
9,27
9,82
9,43
9,44
9,87
10,10
10,64
10,82
10,58
10,27
10,36
10,44
10,43
10,9
10,87
11,11
11,47
11,92
11,51
11,54
11,88
11,21
11,74
11,93
11,4
12,12
12,13
12,90
12,2
12,19
12,100
12,95
12,22
12,99
12,31
13,13
13,12
13,90
13,2
13,95
13,69
13,50
13,99
13,96
13,15
14,14
14,69
14,68
14,73
14,25
14,1
14,34
14,15
14,50
14,84
15,15
15,69
15,1
15,17
15,50
15,65
15,95
15,2
15,57
15,73
16,16
16,74
16,45
16,4
16,91
16,7
16,23
16,66
16,49
16,88
17,17
17,15
17,69
17,96
17,50
17,57
17,29
17,13
17,90
17,2
18,18
18,89
18,80
18,98
18,40
18,97
18,79
18,32
18,85
18,42
19,19
19,100
19,12
19,90
19,13
19,95
19,2
19,35
19,1
19,94
20,20
20,3
20,70
20,93
20,41
20,47
20,11
20,76
20,51
20,46
21,21
21,11
21,88
21,47
21,54
21,36
21,92
21,4
21,49
21,74
22,22
22,99
22,12
22,13
22,96
22,100
22,31
22,17
22,2
22,69
23,23
23,7
23,39
23,44
23,66
23,16
23,45
23,49
23,74
23,6
24,24
24,73
24,65
24,15
24,1
24,50
24,69
24,29
24,78
24,57
25,25
25,14
25,34
25,69
25,68
25,84
25,83
25,86
25,1
25,31
26,26
26,79
26,31
26,22
26,34
26,32
26,83
26,25
26,12
26,77
27,27
27,10
27,82
27,58
27,87
27,64
27,9
27,36
27,33
27,43
28,28
28,63
28,61
28,35
28,5
28,57
28,38
28,2
28,59
28,13
29,29
29,50
29,65
29,69
