stu,cluster
2339,34
2657,35
3321,4
793,51
2312,0
2665,35
2056,5
2116,39
944,16
2209,54
1118,35
3194,35
2588,35
688,21
3109,26
1577,18
505,21
1545,57
990,12
210,15
1647,35
928,24
1598,54
1655,35
1916,0
1806,35
2080,35
1017,35
271,24
2348,58
2511,35
2518,51
1922,0
712,51
765,18
2267,59
1101,35
126,35
1212,42
1483,37
2420,30
1752,15
1827,18
3032,35
2978,35
3185,35
2986,35
756,13
2005,25
2076,63
3063,51
2461,8
618,42
29,62
1167,57
1759,14
550,21
3140,26
1843,35
2094,0
1439,35
747,12
3116,35
1797,35
111,24
1676,14
1219,0
2060,7
1241,51
2502,35
805,58
1220,33
1901,0
1459,21
2927,13
1359,35
2201,24
2608,35
632,26
2239,15
1717,35
3031,35
2000,25
2414,35
540,18
1735,14
2905,11
47,2
2943,18
305,42
565,22
1401,0
2331,17
134,24
192,63
1834,35
664,51
2971,33
2457,30
1790,14
2703,35
3238,33
2889,35
2539,35
142,27
2396,21
492,36
1213,23
1966,0
2024,7
314,42
596,15
2280,59
1342,35
976,35
1399,54
1204,0
1140,40
2809,35
2057,6
1254,16
2405,35
1886,0
3316,3
484,35
3000,33
2431,30
2433,30
571,22
1766,14
3008,33
663,51
2389,59
2801,11
3098,35
2694,35
661,9
2256,59
440,56
2276,54
209,58
337,13
523,24
814,52
2106,24
3301,4
551,21
1565,18
1379,35
1387,35
1994,25
3223,35
2564,23
1815,21
328,18
257,10
2606,35
2240,35
1588,36
1951,0
2186,35
2614,35
2675,51
2621,51
1,13
221,63
907,33
818,51
2123,24
1657,35
846,22
3007,33
647,35
2723,35
2014,52
2856,11
34,62
1871,0
2731,35
933,24
437,35
1747,14
3081,35
3326,31
851,54
762,42
1160,35
1217,54
667,21
1388,57
1542,35
753,35
2125,39
2643,35
1803,14
900,56
974,35
2789,0
2776,11
2651,35
599,57
2915,13
2055,6
2595,21
2817,51
2141,24
969,63
1088,35
790,63
2166,0
2223,59
2760,35
1441,35
1920,0
2228,54
2759,21
2832,11
3134,35
1266,56
270,57
1449,35
2768,35
3188,35
96,44
810,18
1481,37
1519,16
3272,45
522,36
1571,35
2554,23
485,39
233,22
1579,35
1978,35
1283,53
1543,57
2247,24
989,12
2003,25
2680,35
1643,14
2573,51
2459,8
1369,35
2634,35
2284,35
1979,0
2488,51
3041,35
770,51
2642,35
662,13
1234,57
3049,35
652,51
1352,52
2499,30
469,63
1173,42
2289,57
2749,24
1087,35
1306,16
206,40
2260,59
1494,35
1095,35
946,22
50,35
213,58
2468,8
1502,35
2839,11
828,22
2900,11
3179,35
1899,0
2150,35
1668,24
2557,35
2713,35
436,17
1303,39
3101,26
1754,14
448,20
323,42
1616,35
1548,18
920,24
2366,63
1166,35
1259,56
2928,13
1319,52
3156,26
129,35
1417,52
2700,0
2354,59
2907,51
3204,59
985,26
803,63
2969,33
1489,23
1589,39
3236,33
482,36
1132,35
1964,0
510,35
673,51
88,2
2415,51
2610,42
687,13
624,35
1820,35
992,12
1252,16
721,21
791,35
2022,35
117,42
2453,8
1405,35
104,17
1884,0
3070,51
1561,35
1356,54
1157,35
3233,35
739,12
1514,16
3241,35
503,40
2269,54
308,42
2323,24
1011,54
905,56
1312,35
1522,35
1694,35
2131,58
1055,16
726,51
549,21
2803,35
1992,25
2408,57
1727,14
2343,13
147,4
1524,33
1949,0
2607,42
3108,26
100,44
836,35
839,22
1503,63
112,39
2508,35
1569,21
1308,63
2249,35
913,33
3005,33
2371,39
1723,35
1869,0
931,24
1731,35
349,40
1114,35
2786,35
182,61
2169,35
2010,25
175,22
1703,14
2447,24
2580,23
15,2
162,41
1122,18
1194,42
1840,35
1914,54
2951,13
816,54
1651,35
2519,15
0,35
1912,0
2423,30
3075,35
1758,14
1934,0
1496,44
85,44
2448,24
2522,51
2584,42
2932,13
1142,57
1768,35
3290,1
2059,5
1097,35
2119,39
1446,52
1105,35
718,21
3197,35
2960,18
284,56
486,36
622,42
3059,51
113,42
1719,52
1977,0
32,48
1634,35
1028,35
2041,35
3161,54
574,24
1435,35
353,63
613,35
1292,53
1734,14
3112,35
1264,63
2769,11
110,39
2091,35
996,12
1240,56
122,42
1265,16
2377,24
715,51
1069,54
2456,30
1897,0
1150,35
2262,59
2033,11
2620,35
1301,35
1619,24
951,35
455,62
3284,10
3027,35
2902,11
1795,14
2981,35
3042,51
2071,63
1610,51
3080,51
1838,35
2698,0
2042,13
2683,9
3088,51
207,58
2133,24
1846,35
2279,9
1243,26
3111,35
1639,13
1143,40
848,2
3158,26
2442,24
873,30
160,4
713,18
1762,15
1962,0
2432,30
3210,54
459,48
556,21
866,39
28,11
980,35
1595,24
1684,24
2104,59
1338,35
1070,33
2917,52
1078,33
2816,35
857,22
325,35
2451,8
515,15
2893,11
2880,0
3026,35
2404,40
1882,0
504,58
69,46
379,16
1500,53
256,10
2109,24
241,23
1829,35
659,51
752,42
1837,35
3267,32
2527,51
385,16
719,21
2257,0
3270,31
2813,11
2831,11
2393,59
289,39
623,36
310,42
968,54
1391,35
1290,24
1329,35
3219,35
526,35
1208,54
3071,35
269,10
145,4
1947,0
2823,35
2920,13
1476,37
2617,51
106,44
2232,15
2430,8
345,26
74,53
1802,14
738,12
82,53
1664,35
3110,26
1025,52
285,59
1427,63
2322,0
1546,11
643,35
1874,35
21,54
2258,24
704,51
208,40
903,56
2735,35
2868,11
1793,15
3307,31
347,40
61,48
1172,35
1180,35
1382,35
2008,25
2242,0
1538,35
563,35
3153,26
2788,11
517,35
2860,35
3124,26
2593,35
2495,8
2243,35
2796,59
2189,35
3218,35
14,39
768,18
1568,11
460,62
1919,35
1671,35
882,35
2772,35
404,24
1932,0
2844,11
1575,18
412,40
1461,35
2726,35
2780,35
2178,54
1698,14
10,2
1558,57
948,57
1583,35
2736,8
3142,63
1163,35
1148,40
1591,35
1777,35
546,35
2764,11
2051,7
3100,26
953,35
1285,23
2219,51
2569,51
867,56
2646,35
961,35
2226,35
2333,39
2101,59
840,22
1428,52
3305,55
58,63
648,51
1700,35
1757,14
656,51
2321,59
1083,35
2474,30
1091,35
923,24
3183,35
2264,59
3191,35
3159,26
260,2
2553,35
2154,35
2073,63
1238,16
2350,24
140,4
1981,35
1006,35
2622,51
384,35
757,13
2081,56
819,51
2696,0
2695,56
116,42
2353,54
2450,30
146,1
2235,54
2292,13
1128,35
2440,24
2810,21
2800,35
1960,0
2910,40
3174,35
554,21
576,42
1788,14
371,13
742,12
1221,33
2537,51
693,51
2841,11
311,42
1604,51
27,44
2351,0
1315,53
1816,35
2018,35
2001,25
1412,35
202,26
592,57
1880,0
2114,59
391,35
2674,35
1005,35
1726,14
2218,13
399,16
917,24
1127,35
261,31
137,1
1332,35
3239,33
3293,61
912,35
397,26
1690,35
483,16
1226,54
730,51
1409,33
2745,35
2585,23
3224,0
2753,35
1769,14
2255,24
64,46
462,36
