stu,skill,crtRatio
895,116,0.0
1578,93,0.0
968,73,0.8
694,37,1.0
249,68,0.5
862,108,0.625
216,53,0.10344827586206896
1346,67,0.0
135,94,1.0
2095,119,0.6666666666666666
3266,28,0.7857142857142857
978,65,1.0
3278,85,0.85
442,93,1.0
1834,28,0.8
24,56,0.42857142857142855
348,73,1.0
589,33,0.42857142857142855
231,93,1.0
579,110,0.0
7,89,0.4
2910,96,0.0
795,61,1.0
2938,59,0.7142857142857143
247,111,0.47058823529411764
1547,71,0.7
150,63,0.6
2932,50,1.0
142,16,1.0
1498,76,1.0
2011,47,1.0
3312,44,1.0
1475,120,1.0
3289,79,1.0
2327,76,1.0
290,119,1.0
3295,53,0.9090909090909091
176,85,1.0
2053,61,0.3333333333333333
153,38,1.0
1292,66,1.0
2497,117,1.0
391,2,0.6111111111111112
453,66,1.0
2361,54,1.0
36,21,0.6666666666666666
853,76,0.6666666666666666
2125,84,0.8
2062,50,0.75
203,96,1.0
2346,54,0.5
3311,0,0.5
166,60,0.6666666666666666
169,49,0.5384615384615384
2932,61,0.3333333333333333
3075,18,0.6
507,33,0.6
269,50,0.75
497,118,0.9090909090909091
2345,79,1.0
3323,7,1.0
766,112,1.0
136,63,0.75
233,99,1.0
3328,117,1.0
3328,30,1.0
3299,120,0.6875
1995,97,0.6666666666666666
2146,118,0.875
2010,77,1.0
425,52,1.0
441,85,0.3333333333333333
3307,69,1.0
331,51,1.0
845,22,0.8947368421052632
159,80,0.75
182,107,0.4117647058823529
750,18,1.0
1621,1,0.0
2637,2,0.8333333333333334
2974,85,0.0
967,62,0.6363636363636364
3317,22,0.9
1052,51,0.0
47,115,0.18181818181818182
330,91,0.0
152,99,1.0
953,53,0.14285714285714285
470,24,0.8333333333333334
1733,61,1.0
2496,52,1.0
426,33,0.6
2929,71,0.6666666666666666
2450,13,1.0
2044,111,0.09090909090909091
871,4,1.0
336,41,0.43478260869565216
86,28,0.8125
503,41,0.0
828,120,1.0
193,118,0.3953488372093023
805,68,1.0
2169,22,0.5357142857142857
885,53,0.46153846153846156
3328,80,0.75
1867,22,0.5263157894736842
259,76,0.5555555555555556
365,51,1.0
97,73,0.0
1998,116,1.0
84,21,0.6052631578947368
3256,6,1.0
203,51,0.6923076923076923
262,113,0.6666666666666666
425,17,0.75
14,91,0.5
2339,54,0.0
3282,107,0.8333333333333334
2329,79,0.25
3294,3,0.0
22,0,0.6666666666666666
3326,69,1.0
2234,95,1.0
1571,0,0.2
3283,51,1.0
3289,92,0.6153846153846154
2140,79,1.0
31,95,0.75
767,86,0.0
2587,59,1.0
