epoch=1,train={'auc': 0.7619483154624587, 'acc': 0.7376542910139748},test={'auc': 0.7681985309616294, 'acc': 0.7331028629391185}
epoch=2,train={'auc': 0.7735893278699818, 'acc': 0.7449621738159288},test={'auc': 0.7749992966512107, 'acc': 0.7373879561968245}
epoch=3,train={'auc': 0.7831538112387997, 'acc': 0.7478707597284673},test={'auc': 0.7820226664705023, 'acc': 0.7395822551597077}
epoch=4,train={'auc': 0.7866754489607427, 'acc': 0.7498179098969613},test={'auc': 0.7840813204212176, 'acc': 0.7409485167781067}
epoch=5,train={'auc': 0.790831367953081, 'acc': 0.7531052432238203},test={'auc': 0.7862185778742501, 'acc': 0.7423147783965057}
epoch=6,train={'auc': 0.7910258464642435, 'acc': 0.7510658340697867},test={'auc': 0.7862927296843092, 'acc': 0.7426873952015236}
epoch=7,train={'auc': 0.7955039241648998, 'acc': 0.7536296627205719},test={'auc': 0.7882170215254618, 'acc': 0.7427080961351357}
epoch=8,train={'auc': 0.7976156966557925, 'acc': 0.7554214293344728},test={'auc': 0.7872880342066025, 'acc': 0.7422112737284452}
epoch=9,train={'auc': 0.797642210711965, 'acc': 0.7564168552310845},test={'auc': 0.7884936881583737, 'acc': 0.7434119278779473}
epoch=10,train={'auc': 0.7983593006035108, 'acc': 0.7568198813258101},test={'auc': 0.7865015279917874, 'acc': 0.7426666942679114}
epoch=11,train={'auc': 0.8009101730484947, 'acc': 0.7589029921045731},test={'auc': 0.7889919626341271, 'acc': 0.7435775353468441}
epoch=12,train={'auc': 0.7989812153793399, 'acc': 0.7581066513872838},test={'auc': 0.7852129136413932, 'acc': 0.742190572794833}
epoch=13,train={'auc': 0.804022516965327, 'acc': 0.7605199522195569},test={'auc': 0.7892206123292107, 'acc': 0.7439915540190862}
epoch=14,train={'auc': 0.805867393573362, 'acc': 0.7613648502976567},test={'auc': 0.7896106326158417, 'acc': 0.7437017409485168}
epoch=15,train={'auc': 0.8064911985323594, 'acc': 0.7619232599469754},test={'auc': 0.7903024822844209, 'acc': 0.7449437969652432}
epoch=16,train={'auc': 0.8067685063882778, 'acc': 0.7598595721125365},test={'auc': 0.7905551543889997, 'acc': 0.7453992175047095}
epoch=17,train={'auc': 0.8056773026513329, 'acc': 0.7605636538442863},test={'auc': 0.7868482441864022, 'acc': 0.7426873952015236}
epoch=18,train={'auc': 0.8085550638619272, 'acc': 0.7627341678725078},test={'auc': 0.7912598712140113, 'acc': 0.7462479557828058}
epoch=19,train={'auc': 0.8090209537816264, 'acc': 0.7635499315341212},test={'auc': 0.7902749106029562, 'acc': 0.7452336100358126}
epoch=20,train={'auc': 0.808852751480967, 'acc': 0.763059502189937},test={'auc': 0.7913999703374172, 'acc': 0.7454199184383216}
epoch=21,train={'auc': 0.8100825024087279, 'acc': 0.7629818104126405},test={'auc': 0.7887933223634713, 'acc': 0.7436396381476804}
epoch=22,train={'auc': 0.8059178119916334, 'acc': 0.7602965883598295},test={'auc': 0.7863875693168448, 'acc': 0.7396236570269319}
epoch=23,train={'auc': 0.8074648463994463, 'acc': 0.761869846850084},test={'auc': 0.7889240450519732, 'acc': 0.7452750119030368}
epoch=24,train={'auc': 0.8073435823258076, 'acc': 0.7606704800380689},test={'auc': 0.7893311908779023, 'acc': 0.7417144513217546}
epoch=25,train={'auc': 0.8120076720987932, 'acc': 0.7656136193685601},test={'auc': 0.7887535954245868, 'acc': 0.7430600120065415}
epoch=26,train={'auc': 0.8113621907239204, 'acc': 0.7636276233114178},test={'auc': 0.789232679296283, 'acc': 0.742169871861221}
epoch=27,train={'auc': 0.8124332744829451, 'acc': 0.7666818813063873},test={'auc': 0.7892663922684451, 'acc': 0.743950152151862}
epoch=28,train={'auc': 0.8117717146033486, 'acc': 0.7643414165153296},test={'auc': 0.7879849666110813, 'acc': 0.7418179559898151}
epoch=29,train={'auc': 0.8139078727515114, 'acc': 0.7664148158219305},test={'auc': 0.7912960907026703, 'acc': 0.7467654791231084}
epoch=30,train={'auc': 0.8132630725594469, 'acc': 0.7661234716570685},test={'auc': 0.7915798001171961, 'acc': 0.7448609932307947}
epoch=31,train={'auc': 0.8143231223200386, 'acc': 0.7652640063707258},test={'auc': 0.7903505363971326, 'acc': 0.7412797317159003}
epoch=32,train={'auc': 0.8133252786915794, 'acc': 0.7671917335948957},test={'auc': 0.7906929412346733, 'acc': 0.7463100585836421}
epoch=33,train={'auc': 0.8147775470634251, 'acc': 0.7666187567373338},test={'auc': 0.7910777719076159, 'acc': 0.7449851988324674}
epoch=34,train={'auc': 0.8154689760029484, 'acc': 0.7674733662875955},test={'auc': 0.7915711420869089, 'acc': 0.7446539838946736}
epoch=35,train={'auc': 0.8148623927304399, 'acc': 0.7658855405890979},test={'auc': 0.7915370685183803, 'acc': 0.7452543109694247}
epoch=36,train={'auc': 0.8149945817392492, 'acc': 0.7658127045478824},test={'auc': 0.791141628133785, 'acc': 0.7444469745585526}
epoch=37,train={'auc': 0.8171121523461284, 'acc': 0.7685513396975847},test={'auc': 0.7923087410254441, 'acc': 0.7436396381476804}
epoch=38,train={'auc': 0.8167095904351915, 'acc': 0.7683134086296142},test={'auc': 0.7896869238404265, 'acc': 0.7428737036040325}
epoch=39,train={'auc': 0.8174886823419261, 'acc': 0.7687261461965019},test={'auc': 0.7935429926854551, 'acc': 0.7461651520483574}
epoch=40,train={'auc': 0.8157001303798168, 'acc': 0.7644968000699226},test={'auc': 0.7890046755147944, 'acc': 0.74314281574099}
epoch=41,train={'auc': 0.81723966902769, 'acc': 0.7690757591943362},test={'auc': 0.7909431281983133, 'acc': 0.7455234231063821}
epoch=42,train={'auc': 0.8182893391694221, 'acc': 0.7689495100562295},test={'auc': 0.7920954408396159, 'acc': 0.7450680025669157}
epoch=43,train={'auc': 0.8189072967938691, 'acc': 0.7684056676151538},test={'auc': 0.7920867149651671, 'acc': 0.7455855259072184}
epoch=44,train={'auc': 0.8166751907298118, 'acc': 0.7669926484155734},test={'auc': 0.7899364481617741, 'acc': 0.7399962738319498}
epoch=45,train={'auc': 0.8161188786956802, 'acc': 0.7672888483165163},test={'auc': 0.7899201506929985, 'acc': 0.7439915540190862}
epoch=46,train={'auc': 0.8186040018006022, 'acc': 0.7689106641675811},test={'auc': 0.789949509556971, 'acc': 0.7444262736249405}
epoch=47,train={'auc': 0.8208841086522751, 'acc': 0.7706587291567528},test={'auc': 0.7931811333021868, 'acc': 0.7477177220692653}
epoch=48,train={'auc': 0.8161450623372196, 'acc': 0.7668615435413855},test={'auc': 0.7882934921188578, 'acc': 0.7425631895998509}
epoch=49,train={'auc': 0.8164061475747678, 'acc': 0.7677889891328626},test={'auc': 0.7883165284645776, 'acc': 0.7429151054712567}
epoch=50,train={'auc': 0.8199379095182756, 'acc': 0.7706975750454012},test={'auc': 0.7914624083417939, 'acc': 0.7445504792266131}
epoch=51,train={'auc': 0.8189414976160727, 'acc': 0.7686484544192054},test={'auc': 0.7906054445709332, 'acc': 0.7446539838946736}
epoch=52,train={'auc': 0.8219998491384937, 'acc': 0.7716978566780939},test={'auc': 0.7928170824595564, 'acc': 0.745130105367752}
epoch=53,train={'auc': 0.8206653446126929, 'acc': 0.7703625292558098},test={'auc': 0.7911957956560316, 'acc': 0.7418800587906514}
epoch=54,train={'auc': 0.8176988599360803, 'acc': 0.7681580250750211},test={'auc': 0.7891229687811132, 'acc': 0.744343469890492}
epoch=55,train={'auc': 0.8145521691802096, 'acc': 0.7661526060735547},test={'auc': 0.7896538818749055, 'acc': 0.7439294512182499}
epoch=56,train={'auc': 0.8178166493694342, 'acc': 0.769036913305688},test={'auc': 0.7900682712268174, 'acc': 0.7437638437493531}
epoch=57,train={'auc': 0.7947092004211594, 'acc': 0.7528333220032825},test={'auc': 0.7717300649354503, 'acc': 0.7320471153249012}
epoch=58,train={'auc': 0.8152500043572438, 'acc': 0.7660652028240961},test={'auc': 0.7920026012157941, 'acc': 0.745130105367752}
epoch=59,train={'auc': 0.8165352384573756, 'acc': 0.7669926484155734},test={'auc': 0.7900360517555862, 'acc': 0.7462479557828058}
{'t': '2024-10-29&23-28-05', 'duration': '0:5:28', 'n_epoch': 59, 'best_epoch': 39, 'auc': 0.7935429926854551, 'acc': 0.7461651520483574, 'min_seq_len': 3, 'max_seq_len': 200, 'data_path': 'E:/study/KT/DataProcess2022', 'data_set': 'ASSIST09', 'num_ques': 15680, 'input': 'question', 'root': 'E:/study/SimKT/Supplement-Code', 'emb_dim': 128, 'embed_mode': 'pre_emb', 'q_embed_dim': 128, 'qa_embed_dim': 256, 'hidden_dim': 128, 'rnn_mode': 'lstm', 'rnn_num_layer': 1, 'memory_size': 100, 'final_fc_dim': 50, 'num_attn_layer': 4, 'num_heads': 4, 'encode_pos': False, 'max_pos': 512, 'drop_prob': 0.05, 'exercise_dim': 128, 'predict_type': 'mlp', 'model_type': 'SimQE_DKT', 'ks_mode': 'dkt', 'batch_size': 8, 'l2_weight': 0.0001, 'lr': 0.002, 'max_epoch': 200, 'patience': 20, 'device': 'cuda:0', 'save_dir': '../result/ASSIST09', 'log_file': 'logs.txt', 'result_file': 'tunings.txt', 'remark': '', 'meta_paths': ['qkq_contDiff1.0', 'qtq_noWgt'], 'top_k': 2, 'fusion': 'concat_nonLinear'}
